OrderID,Date,Product,Category,Region,Quantity,UnitPrice,DiscountPercent,TotalAmount,PaymentMode,CustomerAge
ORD1001,2025-04-25,Smartphone,Electronics,South,5,13200.52,0,66002.6,Credit Card,61.0
ORD1002,2025-01-16,Backpack,Accessories,North,7,717.35,0,5021.45,Debit Card,32.0
ORD1003,2025-08-03,Backpack,Accessories,South,9,2005.05,0,18045.45,Cash,55.0
ORD1004,2025-03-23,Desk,Furniture,West,1,17141.46,20,13713.17,UPI,35.0
ORD1005,2025-02-17,Headphones,Electronics,West,6,1704.32,0,10225.92,Credit Card,40.0
ORD1006,2025-08-24,Bookshelf,Furniture,Central,1,5622.36,15,4779.01,Credit Card,42.0
ORD1007,2025-07-05,Smartphone,Electronics,Central,10,38497.95,20,307983.6,Debit Card,63.0
ORD1008,2025-05-29,Smartphone,Electronics,North,4,14199.57,20,45438.62,Debit Card,24.0
ORD1009,2025-07-09,Notebook,Stationery,East,6,42.24,0,253.44,Debit Card,60.0
ORD1010,2025-03-29,Desk,Furniture,Central,2,15527.3,10,27949.14,Debit Card,28.0
ORD1011,2025-06-16,Pen Set,Stationery,North,9,144.86,0,1303.74,Debit Card,20.0
ORD1012,2025-06-11,Bookshelf,Furniture,South,2,4406.99,0,8813.98,Cash,43.0
ORD1013,2025-05-15,Pen Set,Stationery,Central,3,85.72,0,257.16,Cash,55.0
ORD1014,2025-09-10,Notebook,Stationery,North,3,48.96,10,132.19,Credit Card,25.0
ORD1015,2025-02-02,Headphones,Electronics,West,7,3435.27,10,21642.2,Cash,56.0
ORD1016,2025-01-06,Pen Set,Stationery,North,9,182.28,20,1312.42,Net Banking,35.0
ORD1017,2025-08-21,Bookshelf,Furniture,North,7,2669.31,0,18685.17,UPI,50.0
ORD1018,2025-06-02,Headphones,Electronics,Central,2,2932.26,20,4691.62,Net Banking,30.0
ORD1019,2025-01-01,Headphones,Electronics,Central,3,2370.44,10,6400.19,UPI,49.0
ORD1020,2025-06-07,Laptop,Electronics,South,6,50034.05,20,240163.44,Credit Card,33.0
ORD1021,2025-09-06,Water Bottle,Accessories,North,2,765.52,15,1301.38,Net Banking,26.0
ORD1022,2025-05-16,Headphones,Electronics,Central,9,3570.95,0,32138.55,Net Banking,45.0
ORD1023,2025-06-09,Office Chair,Furniture,West,4,14146.96,15,48099.66,UPI,46.0
ORD1024,2025-02-02,Backpack,Accessories,East,4,1628.72,0,6514.88,Credit Card,55.0
ORD1025,2025-02-06,Backpack,Accessories,North,4,1075.29,0,4301.16,Debit Card,22.0
ORD1026,2025-05-02,Laptop,Electronics,East,2,83683.59,10,150630.46,Cash,31.0
ORD1027,2025-08-31,Backpack,Accessories,South,10,830.78,10,7477.02,Cash,44.0
ORD1028,2025-08-05,Office Chair,Furniture,West,7,4131.91,0,28923.37,Cash,64.0
ORD1029,2025-07-26,Laptop,Electronics,East,2,75301.4,0,150602.8,Credit Card,33.0
ORD1030,2025-08-05,Office Chair,Furniture,South,8,5282.51,0,42260.08,UPI,47.0
ORD1031,2025-02-20,Office Chair,Furniture,North,2,13493.83,5,25638.28,Net Banking,18.0
ORD1032,2025-07-28,Smartphone,Electronics,West,4,56465.62,0,225862.48,Cash,31.0
ORD1033,2025-01-02,Notebook,Stationery,West,3,92.2,5,262.77,UPI,47.0
ORD1034,2025-09-07,Desk,Furniture,South,9,11345.11,15,86790.09,Debit Card,36.0
ORD1035,2025-02-01,Office Chair,Furniture,East,10,14624.51,15,124308.34,Credit Card,21.0
ORD1036,2025-01-30,Water Bottle,Accessories,Central,9,459.91,0,4139.19,Credit Card,29.0
ORD1037,2025-03-03,Smartphone,Electronics,Central,4,40561.69,5,154134.42,Debit Card,55.0
ORD1038,2025-09-25,Water Bottle,Accessories,East,2,175.83,5,334.08,UPI,31.0
ORD1039,2025-06-03,Bookshelf,Furniture,West,7,3432.12,0,24024.84,UPI,22.0
ORD1040,2025-02-07,Laptop,Electronics,Central,10,65622.85,0,656228.5,Debit Card,50.0
ORD1041,2025-05-06,Desk,Furniture,East,6,6986.85,0,41921.1,UPI,28.0
ORD1042,2025-01-05,Pen Set,Stationery,Central,5,258.44,10,1162.98,UPI,60.0
ORD1043,2025-03-01,Smartphone,Electronics,North,3,57068.64,0,171205.92,Net Banking,27.0
ORD1044,2025-06-25,Desk,Furniture,South,4,9226.34,15,31369.56,UPI,50.0
ORD1045,2025-08-05,Pen Set,Stationery,East,1,112.78,0,112.78,Credit Card,18.0
ORD1046,2025-08-15,Bookshelf,Furniture,Central,5,6626.72,0,33133.6,Cash,53.0
ORD1047,2025-01-19,Laptop,Electronics,East,3,50034.32,10,135092.66,Net Banking,53.0
ORD1048,2025-07-06,Headphones,Electronics,North,1,2605.1,0,2605.1,UPI,31.0
ORD1049,2025-07-28,Office Chair,Furniture,Central,6,11003.2,20,52815.36,Debit Card,33.0
ORD1050,2025-01-13,Headphones,Electronics,South,3,4900.07,5,13965.2,UPI,44.0
ORD1051,2025-01-20,Office Chair,Furniture,West,2,6201.67,5,11783.17,Debit Card,30.0
ORD1052,2025-01-13,Pen Set,Stationery,South,4,137.41,0,549.64,Cash,39.0
ORD1053,2025-09-18,Desk,Furniture,West,5,17965.29,0,89826.45,Net Banking,39.0
ORD1054,2025-05-16,Laptop,Electronics,North,5,50190.38,0,250951.9,Credit Card,56.0
ORD1055,2025-09-19,Notebook,Stationery,North,6,47.65,5,271.6,Cash,54.0
ORD1056,2025-09-24,Office Chair,Furniture,Central,7,6056.67,0,42396.69,Debit Card,41.0
ORD1057,2025-06-10,Notebook,Stationery,North,6,25.6,10,138.24,UPI,50.0
ORD1058,2025-06-01,Desk,Furniture,Central,6,15003.39,5,85519.32,Debit Card,30.0
ORD1059,2025-03-31,Notebook,Stationery,Central,7,73.19,15,435.48,Net Banking,37.0
ORD1060,2025-05-27,Notebook,Stationery,South,1,63.83,0,63.83,Cash,55.0
ORD1061,2025-08-15,Water Bottle,Accessories,South,8,575.56,5,4374.26,Net Banking,48.0
